"op_carrier_fl_num","op_unique_carrier","origin_airport_id","dest_airport_id","distance","route","day"
225,"AS",14679,14747,1050.0,"14679-14747",7
5804,"OO",13930,11003,196.0,"13930-11003",7
2166,"F9",14747,12889,867.0,"14747-12889",6
4141,"OO",12280,14869,188.0,"12280-14869",6
286,"HA",12173,13830,100.0,"12173-13830",1
5408,"OH",11278,11986,524.0,"11278-11986",2
2184,"DL",14730,10397,321.0,"14730-10397",7
1149,"UA",11618,13204,937.0,"11618-13204",4
6292,"YV",12266,15376,936.0,"12266-15376",4
303,"UA",11292,12953,1620.0,"11292-12953",1
1278,"WN",12892,14771,337.0,"12892-14771",3
283,"AA",12892,12173,2556.0,"12892-12173",2
2880,"AA",14107,15376,110.0,"14107-15376",1
1157,"DL",12953,13495,1183.0,"12953-13495",5
672,"NK",13495,11697,674.0,"13495-11697",5
229,"AA",11298,12758,3724.0,"11298-12758",6
4996,"C5",10994,11618,628.0,"10994-11618",2
1225,"DL",10397,11298,731.0,"10397-11298",5
1533,"UA",14986,13930,1050.0,"14986-13930",5
5895,"OO",12892,10372,737.0,"12892-10372",3
140,"HA",12982,13830,201.0,"12982-13830",3
3789,"ZW",10434,13930,632.0,"10434-13930",6
1219,"WN",13198,14107,1044.0,"13198-14107",7
1847,"UA",11298,12264,1172.0,"11298-12264",1
214,"WN",12391,13204,971.0,"12391-13204",2
3649,"MQ",13930,14307,849.0,"13930-14307",7
4875,"PT",11433,14100,453.0,"11433-14100",3
2946,"F9",14679,14107,304.0,"14679-14107",6
2456,"AA",13930,12889,1514.0,"13930-12889",7
1271,"B6",12953,11697,1076.0,"12953-11697",2
5748,"YV",11775,11298,737.0,"11775-11298",2
4052,"OO",13487,10627,386.0,"13487-10627",7
4540,"G7",13930,13230,594.0,"13930-13230",1
948,"UA",11292,14747,1024.0,"11292-14747",6
4002,"MQ",11298,13290,431.0,"11298-13290",1
867,"WN",12889,14869,368.0,"12889-14869",6
1287,"DL",10397,10821,577.0,"10397-10821",2
3516,"MQ",14783,11298,364.0,"14783-11298",7
1513,"UA",11618,12451,820.0,"11618-12451",1
5122,"OH",11278,10868,408.0,"11278-10868",7
978,"G4",14112,15096,1111.0,"14112-15096",6
4122,"EV",10397,12266,689.0,"10397-12266",6
431,"UA",14771,11292,967.0,"14771-11292",7
247,"AS",11884,14747,224.0,"11884-14747",7
1353,"DL",10397,14193,271.0,"10397-14193",6
340,"DL",10397,12264,534.0,"10397-12264",2
5347,"OH",10208,11057,140.0,"10208-11057",2
2562,"WN",11986,11292,1015.0,"11986-11292",2
795,"WN",13851,11278,1158.0,"13851-11278",7
3749,"OO",14869,12280,188.0,"14869-12280",5
2910,"AA",15919,11298,280.0,"15919-11298",4
1636,"AS",14747,12889,867.0,"14747-12889",7
948,"WN",14107,12339,1488.0,"14107-12339",1
2392,"WN",14100,15304,920.0,"14100-15304",2
5095,"OH",11057,14524,257.0,"11057-14524",5
5107,"9E",12953,13296,195.0,"12953-13296",6
3137,"WN",10693,12953,764.0,"10693-12953",5
562,"WN",15304,10792,1053.0,"15304-10792",2
2705,"DL",10397,11433,594.0,"10397-11433",5
5596,"OO",14689,12892,89.0,"14689-12892",2
302,"WN",13891,14107,325.0,"13891-14107",6
976,"UA",14893,13930,1781.0,"14893-13930",5
4817,"9E",11612,10397,350.0,"11612-10397",7
1800,"UA",14771,13930,1846.0,"14771-13930",7
4482,"WN",14679,13796,446.0,"14679-13796",5
6101,"WN",14679,14107,304.0,"14679-14107",1
4915,"C5",10257,11618,143.0,"10257-11618",5
131,"HA",12402,12173,216.0,"12402-12173",2
5385,"9E",14814,10397,551.0,"14814-10397",5
146,"AA",10529,13303,1194.0,"10529-13303",6
2576,"DL",11433,11697,1127.0,"11433-11697",1
2828,"QX",14004,14771,710.0,"14004-14771",3
6463,"WN",10693,10423,756.0,"10693-10423",2
5172,"OH",11278,10792,296.0,"11278-10792",7
213,"WN",10821,13931,159.0,"10821-13931",5
4704,"AX",11292,14783,637.0,"11292-14783",5
2709,"QX",15023,14908,433.0,"15023-14908",2
2705,"WN",13232,11292,895.0,"13232-11292",5
4969,"PT",11057,12945,281.0,"11057-12945",4
5038,"9E",13422,10397,302.0,"13422-10397",6
2452,"QX",13264,14747,352.0,"13264-14747",1
471,"UA",11292,14635,1607.0,"11292-14635",2
184,"DL",12173,12892,2556.0,"12173-12892",6
2270,"QX",14570,14057,444.0,"14570-14057",2
817,"UA",10423,11618,1504.0,"10423-11618",7
379,"WN",13198,11697,1242.0,"13198-11697",7
4491,"YX",12953,10693,764.0,"12953-10693",3
5370,"WN",13232,14122,402.0,"13232-14122",1
2449,"AA",11298,12451,918.0,"11298-12451",3
3842,"MQ",15919,11298,280.0,"15919-11298",4
567,"AS",14679,14747,1050.0,"14679-14747",4
5863,"WN",13232,14771,1855.0,"13232-14771",5
5036,"9E",11995,10397,306.0,"11995-10397",5
1252,"AA",14100,10423,1430.0,"14100-10423",4
1198,"B6",13204,12953,950.0,"13204-12953",4
4318,"OO",14794,14869,272.0,"14794-14869",7
2874,"DL",14747,10693,1978.0,"14747-10693",7
1883,"AA",11057,13930,599.0,"11057-13930",2
3660,"YX",11042,12266,1091.0,"11042-12266",2
4757,"PT",14100,10257,212.0,"14100-10257",3
5472,"WN",10397,11259,721.0,"10397-11259",1
5918,"YV",12896,11298,282.0,"12896-11298",3
1651,"NK",10693,15304,612.0,"10693-15304",1
5774,"OO",11292,14489,898.0,"11292-14489",7
4241,"MQ",13244,13303,859.0,"13244-13303",6
4719,"AX",11292,14783,637.0,"11292-14783",2
2061,"AA",11057,14771,2296.0,"11057-14771",7
278,"AA",12264,11298,1172.0,"12264-11298",6
5201,"WN",13232,14869,1259.0,"13232-14869",4
5709,"OH",11057,15624,460.0,"11057-15624",7
5534,"OH",11057,14685,213.0,"11057-14685",6
695,"AA",13796,14107,646.0,"13796-14107",3
3588,"OO",13422,10397,302.0,"13422-10397",6
4760,"AX",11292,15412,1162.0,"11292-15412",2
780,"UA",14771,13930,1846.0,"14771-13930",1
2405,"DL",13303,10397,594.0,"13303-10397",4
2890,"AA",14771,13303,2585.0,"14771-13303",3
1578,"AA",11298,13487,852.0,"11298-13487",2
1045,"AA",14747,13930,1721.0,"14747-13930",7
1422,"F9",13303,13930,1197.0,"13303-13930",7
5062,"OH",14986,11057,547.0,"14986-11057",4
1622,"NK",12889,14747,867.0,"12889-14747",2
1902,"WN",12954,13796,353.0,"12954-13796",7
3051,"OO",11298,11140,354.0,"11298-11140",6
1261,"DL",13204,13487,1310.0,"13204-13487",3
5332,"9E",11996,10397,153.0,"11996-10397",4
2419,"AA",11057,10423,1032.0,"11057-10423",4
1604,"AA",14683,13303,1143.0,"14683-13303",6
68,"HA",12982,13796,2457.0,"12982-13796",4
683,"F9",13204,11292,1546.0,"13204-11292",5
898,"AS",13830,14057,2562.0,"13830-14057",5
291,"UA",14771,12264,2419.0,"14771-12264",1
6038,"YV",10785,12264,441.0,"10785-12264",4
936,"WN",10800,14893,358.0,"10800-14893",7
4101,"EV",12266,10747,308.0,"12266-10747",3
6296,"YV",12264,11298,1172.0,"12264-11298",1
3773,"OO",14252,14869,521.0,"14252-14869",7
1004,"AA",14771,11298,1464.0,"14771-11298",2
1507,"WN",11697,12451,319.0,"11697-12451",2
3787,"OO",11433,11986,120.0,"11433-11986",7
971,"AA",11057,13204,468.0,"11057-13204",6
5980,"OO",13487,11292,680.0,"13487-11292",6
920,"DL",13244,10397,332.0,"13244-10397",5
993,"WN",14635,10821,919.0,"14635-10821",2
6237,"YV",14685,12266,851.0,"14685-12266",5
1048,"AS",14679,10423,1164.0,"14679-10423",5
922,"UA",11697,14771,2584.0,"11697-14771",7
601,"B6",12478,11697,1069.0,"12478-11697",6
2149,"WN",12889,11292,628.0,"12889-11292",7
5135,"9E",10980,11433,505.0,"10980-11433",6
1606,"AA",14635,14100,993.0,"14635-14100",1
5666,"OH",11996,11057,75.0,"11996-11057",1
722,"B6",14027,10721,1197.0,"14027-10721",2
5433,"OH",11973,11057,577.0,"11973-11057",3
6038,"WN",14492,10821,255.0,"14492-10821",5
2718,"WN",14107,13851,833.0,"14107-13851",4
5123,"OO",13930,10409,507.0,"13930-10409",7
5740,"OO",12892,14487,501.0,"12892-14487",2
4884,"9E",11433,14321,668.0,"11433-14321",6
2032,"AA",14100,15304,920.0,"14100-15304",6
1143,"AS",14679,13487,1532.0,"14679-13487",6
1897,"UA",12892,13930,1744.0,"12892-13930",5
6342,"WN",12889,15376,365.0,"12889-15376",1
771,"AS",11278,14057,2350.0,"11278-14057",4
1811,"AA",11057,15304,507.0,"11057-15304",1
5187,"OH",11057,14524,257.0,"11057-14524",6
3638,"OO",14321,11433,668.0,"14321-11433",7
244,"UA",10397,12266,689.0,"10397-12266",1
1991,"DL",13487,10397,907.0,"13487-10397",7
5814,"YV",11298,14457,835.0,"11298-14457",7
5343,"OH",11057,14685,213.0,"11057-14685",4
2379,"WN",12191,10800,1389.0,"12191-10800",4
1218,"DL",10693,14869,1404.0,"10693-14869",4
1152,"NK",13204,11995,535.0,"13204-11995",3
911,"F9",10792,14635,1144.0,"10792-14635",3
2762,"WN",14107,10693,1449.0,"14107-10693",5
453,"UA",11193,11292,1069.0,"11193-11292",2
4848,"PT",14100,11433,453.0,"14100-11433",5
484,"UA",12264,12266,1190.0,"12264-12266",3
6089,"YV",13851,12266,395.0,"13851-12266",5
1318,"AA",13930,12266,925.0,"13930-12266",1
22,"AA",11057,10529,644.0,"11057-10529",6
2892,"QX",14004,11884,222.0,"14004-11884",2
1178,"AS",14747,14679,1050.0,"14747-14679",2
1012,"AA",13930,14683,1041.0,"13930-14683",1
3601,"YX",13487,11618,1008.0,"13487-11618",7
3020,"OO",13930,12945,323.0,"13930-12945",7
1584,"DL",10397,14576,749.0,"10397-14576",7
4943,"9E",15016,12953,888.0,"15016-12953",6
5374,"OH",11057,14122,366.0,"11057-14122",4
4431,"WN",14635,13232,1105.0,"14635-13232",5
2573,"AA",13930,15016,258.0,"13930-15016",6
5038,"OH",11057,12264,322.0,"11057-12264",7
2459,"AA",11298,12892,1235.0,"11298-12892",7
6727,"WN",10800,14831,296.0,"10800-14831",1
4840,"9E",13487,11193,596.0,"13487-11193",2
4514,"WN",11292,13198,533.0,"11292-13198",1
5192,"OH",11003,11057,742.0,"11003-11057",3
1254,"DL",11433,14107,1671.0,"11433-14107",6
446,"NK",12889,13930,1514.0,"12889-13930",3
2696,"DL",10397,13487,907.0,"10397-13487",6
878,"NK",13204,12898,823.0,"13204-12898",3
2367,"AA",14869,11298,989.0,"14869-11298",3
981,"UA",14771,14107,651.0,"14771-14107",1
1982,"UA",11292,14679,853.0,"11292-14679",7
455,"NK",10529,15304,1111.0,"10529-15304",1
1184,"AS",14057,14679,933.0,"14057-14679",7
4153,"OO",14814,10397,551.0,"14814-10397",5
4223,"OO",11433,12397,353.0,"11433-12397",3
6085,"CP",12892,14771,337.0,"12892-14771",2
3568,"YX",11292,13198,533.0,"11292-13198",7
1874,"DL",15304,10397,406.0,"15304-10397",6
698,"AA",14107,11298,868.0,"14107-11298",1
2401,"UA",14908,11292,846.0,"14908-11292",3
5599,"OH",11278,14685,519.0,"11278-14685",5
2037,"AA",11057,13198,808.0,"11057-13198",3
166,"AA",14771,12478,2586.0,"14771-12478",2
829,"AS",14679,13830,2541.0,"14679-13830",2
1274,"DL",10397,10721,946.0,"10397-10721",1
98,"AA",14100,11057,449.0,"14100-11057",2
3486,"WN",10693,13495,471.0,"10693-13495",4
615,"AS",13891,14747,956.0,"13891-14747",6
1130,"DL",10397,13487,907.0,"10397-13487",1
671,"WN",11042,10693,448.0,"11042-10693",7
2357,"AA",11298,14869,989.0,"11298-14869",2
6468,"WN",12889,11292,628.0,"12889-11292",1
1342,"DL",12339,10397,432.0,"12339-10397",5
2384,"G4",11612,14761,734.0,"11612-14761",5
2679,"WN",11259,12889,1067.0,"11259-12889",5
841,"B6",12478,14685,718.0,"12478-14685",3
1351,"AA",11298,15304,929.0,"11298-15304",4
3063,"WN",11278,13204,759.0,"11278-13204",1
16,"AA",13303,10397,594.0,"13303-10397",3
1135,"DL",12889,13487,1299.0,"12889-13487",4
3603,"YX",12339,11618,645.0,"12339-11618",5
5791,"OO",13930,14696,84.0,"13930-14696",7
4841,"9E",10397,11995,306.0,"10397-11995",5
901,"AA",11278,15304,814.0,"11278-15304",2
1732,"DL",10397,14635,515.0,"10397-14635",2
716,"DL",10397,12266,689.0,"10397-12266",6
267,"WN",10693,13232,395.0,"10693-13232",3
5655,"OO",13930,11278,612.0,"13930-11278",7
2108,"G4",14761,12544,457.0,"14761-12544",2
3815,"ZW",11146,13930,416.0,"11146-13930",4
546,"UA",14679,12264,2253.0,"14679-12264",4
80,"B6",14570,12478,2411.0,"14570-12478",2
810,"AA",11298,13891,1188.0,"11298-13891",5
1153,"AS",14908,14057,859.0,"14908-14057",7
1206,"WN",13796,14908,371.0,"13796-14908",7
1241,"G4",14761,10431,465.0,"14761-10431",5
5236,"OO",12278,13930,588.0,"12278-13930",1
2903,"B6",12478,14843,1598.0,"12478-14843",4
3545,"YX",11298,11292,641.0,"11298-11292",2
6079,"YX",14492,10721,612.0,"14492-10721",6
2508,"WN",13796,14057,543.0,"13796-14057",3
3380,"MQ",10599,13303,661.0,"10599-13303",7
477,"AS",14689,14747,908.0,"14689-14747",5
2033,"WN",12889,14831,386.0,"12889-14831",7
593,"G4",14512,10466,1373.0,"14512-10466",3
5357,"OO",15919,11292,616.0,"15919-11292",1
1823,"WN",13796,14908,371.0,"13796-14908",2
1199,"DL",10397,15016,484.0,"10397-15016",6
731,"B6",10721,12953,184.0,"10721-12953",2
1341,"DL",11996,10397,153.0,"11996-10397",3
4055,"OO",11641,10397,331.0,"11641-10397",7
5372,"9E",12953,13931,296.0,"12953-13931",3
1667,"DL",13303,10397,594.0,"13303-10397",2
1464,"AA",11057,15304,507.0,"11057-15304",5
189,"AA",11298,11503,721.0,"11298-11503",3
4650,"YX",12953,10693,764.0,"12953-10693",2
2543,"DL",11292,12478,1626.0,"11292-12478",4
1838,"DL",10397,13198,692.0,"10397-13198",6
3610,"OO",11433,12884,74.0,"11433-12884",7
1245,"B6",10721,11057,728.0,"10721-11057",1
2304,"WN",12191,13796,1642.0,"12191-13796",3
203,"NK",10721,14027,1197.0,"10721-14027",6
2615,"AA",11057,14635,600.0,"11057-14635",7
2403,"DL",11193,13204,757.0,"11193-13204",4
1804,"AA",12266,11057,912.0,"12266-11057",1
1019,"AA",14831,11298,1438.0,"14831-11298",7
2118,"WN",14679,14893,480.0,"14679-14893",7
5752,"CP",14679,12892,109.0,"14679-12892",2
895,"UA",11292,12266,862.0,"11292-12266",3
5358,"OH",13577,11057,157.0,"13577-11057",5
3616,"OO",14122,13487,726.0,"14122-13487",6
5505,"OO",11292,14698,931.0,"11292-14698",7
769,"AA",13204,14100,861.0,"13204-14100",3
4347,"YX",14524,12953,292.0,"14524-12953",4
4565,"YX",13577,11057,157.0,"13577-11057",2
3170,"OO",11823,11298,859.0,"11823-11298",7
4376,"YX",11433,11278,405.0,"11433-11278",2
4843,"ZW",12264,11995,239.0,"12264-11995",5
2937,"DL",12953,10397,762.0,"12953-10397",6
920,"DL",11292,10397,1199.0,"11292-10397",7
2104,"WN",10397,13796,2130.0,"10397-13796",1
8,"G4",12889,10140,486.0,"12889-10140",3
6368,"YV",12266,13891,1334.0,"12266-13891",6
2435,"AA",14685,11298,925.0,"14685-11298",2
2032,"WN",12191,14107,1020.0,"12191-14107",7
4353,"YX",11278,11433,405.0,"11278-11433",4
735,"AS",14747,10299,1448.0,"14747-10299",1
3644,"OO",10397,15607,208.0,"10397-15607",1
1552,"AS",14057,14262,873.0,"14057-14262",7
4489,"EV",13930,11193,264.0,"13930-11193",4
406,"UA",12441,11292,406.0,"12441-11292",1
5781,"CP",14747,14831,696.0,"14747-14831",7
1788,"NK",12889,11433,1749.0,"12889-11433",1
3630,"OO",11433,14321,668.0,"11433-14321",4
1767,"WN",14107,14831,621.0,"14107-14831",7
4757,"9E",12953,13485,812.0,"12953-13485",3
4806,"PT",14100,10792,279.0,"14100-10792",7
2398,"UA",14747,14771,679.0,"14747-14771",3
1780,"DL",10397,14679,1892.0,"10397-14679",7
2497,"WN",13232,11292,895.0,"13232-11292",2
2551,"WN",15016,13796,1725.0,"15016-13796",2
3976,"EV",13930,14576,528.0,"13930-14576",2
200,"WN",13851,12191,419.0,"13851-12191",3
107,"HA",12758,12173,163.0,"12758-12173",1
1199,"AA",13303,12478,1089.0,"13303-12478",1
4095,"EV",12266,11540,667.0,"12266-11540",3
6139,"YX",10721,13930,867.0,"10721-13930",6
5860,"YV",14730,11298,733.0,"14730-11298",7
5317,"OH",11057,12264,322.0,"11057-12264",4
2552,"WN",12889,10792,1986.0,"12889-10792",6
2002,"DL",14771,14747,679.0,"14771-14747",6
995,"UA",14771,13930,1846.0,"14771-13930",5
3171,"OO",13930,10821,621.0,"13930-10821",2
3965,"EV",10140,12266,744.0,"10140-12266",4
910,"WN",13891,13796,362.0,"13891-13796",2
2150,"UA",12173,11292,3365.0,"12173-11292",2
2787,"WN",11697,10821,925.0,"11697-10821",4
481,"G4",14761,15412,511.0,"14761-15412",3
3659,"OO",13487,11637,223.0,"13487-11637",4
2434,"AA",14107,12478,2153.0,"14107-12478",4
2853,"AA",14107,14689,455.0,"14107-14689",4
3588,"OO",10994,12953,641.0,"10994-12953",7
3311,"MQ",13930,12953,733.0,"13930-12953",7
5626,"WN",10721,10821,369.0,"10721-10821",1
1302,"G4",10423,11193,958.0,"10423-11193",3
5237,"OO",10800,11292,850.0,"10800-11292",1
4185,"MQ",14814,11298,190.0,"14814-11298",7
3472,"YX",11618,11986,605.0,"11618-11986",6
5285,"OO",10713,11292,649.0,"10713-11292",4
884,"AA",11292,11298,641.0,"11292-11298",1
5321,"WN",13796,14679,446.0,"13796-14679",4
847,"G4",14524,14112,731.0,"14524-14112",6
2702,"DL",14869,14747,689.0,"14869-14747",3
3427,"YX",11057,11618,529.0,"11057-11618",7
190,"WN",12892,12889,236.0,"12892-12889",2
1496,"AA",14100,14843,1576.0,"14100-14843",6
558,"HA",12173,12758,163.0,"12173-12758",4
3569,"WN",13495,12889,1500.0,"13495-12889",1
644,"B6",14027,11618,1023.0,"14027-11618",3
47,"AS",10299,10170,253.0,"10299-10170",3
4015,"EV",11278,11042,310.0,"11278-11042",6
646,"UA",14679,12266,1303.0,"14679-12266",4
6249,"G7",11433,15016,440.0,"11433-15016",5
3969,"WN",14771,14679,447.0,"14771-14679",1
229,"WN",10397,15304,406.0,"10397-15304",2
2190,"UA",12266,14683,191.0,"12266-14683",6
2988,"OO",14107,16218,160.0,"14107-16218",6
1963,"UA",12266,11292,862.0,"12266-11292",5
5167,"9E",10792,12953,292.0,"10792-12953",7
2227,"WN",14679,14831,417.0,"14679-14831",2
3477,"OO",11638,14679,314.0,"11638-14679",3
2490,"DL",14771,14747,679.0,"14771-14747",2
5751,"OO",12892,14107,370.0,"12892-14107",1
3866,"OO",13487,13029,331.0,"13487-13029",6
4414,"EV",11618,13485,799.0,"11618-13485",2
2031,"DL",14027,10397,545.0,"14027-10397",2
2196,"DL",12339,10397,432.0,"12339-10397",6
2194,"UA",13930,12892,1744.0,"13930-12892",3
430,"DL",12478,14771,2586.0,"12478-14771",5
6091,"WN",13232,11193,249.0,"13232-11193",1
1877,"AA",11057,11697,632.0,"11057-11697",6
199,"NK",12266,12889,1222.0,"12266-12889",2
4436,"EV",12266,11140,201.0,"12266-11140",4
1153,"AA",11298,15624,641.0,"11298-15624",6
5292,"9E",11203,11433,363.0,"11203-11433",3
1097,"AS",12264,12892,2288.0,"12264-12892",4
44,"WN",11259,14107,879.0,"11259-14107",2
4514,"YX",11057,11042,430.0,"11057-11042",5
5674,"OH",14685,11057,213.0,"14685-11057",4
3796,"MQ",12478,10821,184.0,"12478-10821",3
3695,"YX",14122,11618,319.0,"14122-11618",2
6063,"YX",10721,12953,184.0,"10721-12953",7
2966,"DL",14107,10397,1587.0,"14107-10397",7
3176,"OO",13930,11423,299.0,"13930-11423",2
3337,"MQ",11298,15411,102.0,"11298-15411",4
6372,"WN",13232,10721,861.0,"13232-10721",5
5032,"WN",13232,12191,937.0,"13232-12191",5
449,"WN",13342,10397,669.0,"13342-10397",2
1949,"DL",14908,14869,588.0,"14908-14869",5
5243,"9E",11298,12478,1391.0,"11298-12478",5
1568,"DL",11996,10397,153.0,"11996-10397",7
3861,"ZW",11042,12264,288.0,"11042-12264",6
4959,"WN",14771,12892,337.0,"14771-12892",5
809,"DL",10721,13487,1124.0,"10721-13487",3
4811,"PT",10990,11057,245.0,"10990-11057",2
5959,"OO",11603,12892,748.0,"11603-12892",6
463,"AA",13303,13204,192.0,"13303-13204",4
5283,"WN",14107,12191,1020.0,"14107-12191",5
732,"AS",14747,11298,1660.0,"14747-11298",4
681,"WN",12889,10693,1587.0,"12889-10693",3
521,"UA",13930,14869,1250.0,"13930-14869",2
633,"AS",11884,14747,224.0,"11884-14747",4
2431,"F9",11042,14986,967.0,"11042-14986",2
3525,"YX",11278,12266,1208.0,"11278-12266",4
2028,"DL",10397,12889,1747.0,"10397-12889",7
138,"AA",11298,13495,447.0,"11298-13495",3
4932,"C5",11618,14321,284.0,"11618-14321",1
6171,"WN",13495,10693,471.0,"13495-10693",1
5912,"YV",14107,11638,493.0,"14107-11638",6
201,"AA",14908,14107,338.0,"14908-14107",4
6184,"G7",14492,15304,587.0,"14492-15304",2
814,"B6",11697,12197,1097.0,"11697-12197",3
1937,"WN",14107,13232,1444.0,"14107-13232",7
2170,"WN",13232,12339,162.0,"13232-12339",6
2182,"AA",13930,13198,403.0,"13930-13198",7
1962,"UA",11618,11697,1065.0,"11618-11697",5
3324,"MQ",11298,15249,767.0,"11298-15249",2
6045,"YX",10721,14100,280.0,"10721-14100",5
3769,"ZW",13930,10408,161.0,"13930-10408",4
889,"AS",14057,12173,2603.0,"14057-12173",6
5753,"OO",14771,14487,199.0,"14771-14487",6
2890,"AA",14771,13303,2585.0,"14771-13303",6
6039,"YX",10721,11278,399.0,"10721-11278",1
6362,"YV",12448,12266,351.0,"12448-12266",2
3235,"WN",11292,10713,649.0,"11292-10713",5
2056,"AA",11057,10529,644.0,"11057-10529",3
1613,"AA",13303,14843,1045.0,"13303-14843",7
528,"HA",12173,12758,163.0,"12173-12758",7
683,"WN",13796,10821,2447.0,"13796-10821",2
79,"B6",10721,11618,200.0,"10721-11618",5
805,"NK",10397,12889,1747.0,"10397-12889",5
2883,"B6",12478,13204,944.0,"12478-13204",7
2140,"QX",14747,10713,399.0,"14747-10713",4
831,"F9",15356,14986,992.0,"15356-14986",6
2235,"B6",10721,13487,1124.0,"10721-13487",6
5089,"OO",13930,11823,157.0,"13930-11823",3
1169,"AA",13930,15016,258.0,"13930-15016",3
2713,"DL",14057,12478,2454.0,"14057-12478",4
5357,"9E",10431,10397,164.0,"10431-10397",7
3968,"WN",10423,12889,1090.0,"10423-12889",1
1461,"AA",13303,15024,1107.0,"13303-15024",6
2058,"QX",14489,14057,116.0,"14489-14057",3
6230,"WN",14843,13204,1189.0,"14843-13204",1
585,"WN",14107,13891,325.0,"14107-13891",6
1268,"NK",12889,11042,1824.0,"12889-11042",5
1180,"DL",10397,14679,1892.0,"10397-14679",6
2872,"DL",14679,14869,626.0,"14679-14869",4
1827,"B6",11618,13204,937.0,"11618-13204",3
2925,"AA",11057,10423,1032.0,"11057-10423",4
6264,"G7",13485,11433,311.0,"13485-11433",6
3912,"OO",11066,11433,155.0,"11066-11433",5
2417,"WN",12339,14635,945.0,"12339-14635",3
4706,"YX",14100,13577,473.0,"14100-13577",4
5012,"PT",13277,11057,372.0,"13277-11057",4
676,"AS",14747,11298,1660.0,"14747-11298",1
17,"WN",11259,12191,239.0,"11259-12191",6
496,"UA",11298,11292,641.0,"11298-11292",3
502,"UA",15304,11292,1506.0,"15304-11292",3
2110,"UA",12264,14107,1956.0,"12264-14107",6
5445,"OH",11193,11278,411.0,"11193-11278",5
4121,"WN",11292,13891,819.0,"11292-13891",5
4638,"AX",14674,11292,303.0,"14674-11292",7
3569,"MQ",11298,11982,134.0,"11298-11982",1
895,"UA",11292,12266,862.0,"11292-12266",1
4433,"YX",14492,12953,431.0,"14492-12953",5
4832,"ZW",14108,13930,130.0,"14108-13930",3
929,"DL",13487,13486,1013.0,"13487-13486",5
2380,"AA",11066,11298,926.0,"11066-11298",4
1985,"DL",14747,14869,689.0,"14747-14869",5
2437,"WN",12889,15376,365.0,"12889-15376",2
826,"AA",14771,12892,337.0,"14771-12892",5
2158,"AA",12953,10721,184.0,"12953-10721",6
4075,"EV",12266,13256,316.0,"12266-13256",6
1693,"DL",12191,10397,696.0,"12191-10397",6
2353,"DL",10397,10693,214.0,"10397-10693",6
3332,"MQ",11066,13303,990.0,"11066-13303",3
32,"DL",11298,10397,731.0,"11298-10397",2
5448,"WN",14307,10821,327.0,"14307-10821",5
2155,"WN",10821,14027,883.0,"10821-14027",2
1688,"UA",11697,11618,1065.0,"11697-11618",3
227,"F9",10821,11292,1491.0,"10821-11292",1
2463,"DL",10397,12278,782.0,"10397-12278",3
1114,"DL",13198,11433,629.0,"13198-11433",6
